CODIGO,nombre,latitud,longitud,DEPARTAMENTO,MUNICIPIO
47040050,SAN AGUSTIN [47040050],-1.61069444,-73.48483333,Amazonas,El Encanto
47047040,SAN AGUSTIN [47047040],-1.6100277799999998,-73.48552778,Amazonas,El Encanto
47107010,TARAPACA [47107010],-2.8947222200000002,-69.73555556000001,Amazonas,Tarapacá
53115010,AEROPUERTO BUENAVENTUR [53115010],3.82011111,-76.99238889,Valle del Cauca,Buenaventura
23197090,SAN ALBERTO [23197090],7.51666667,-73.51666666999999,Santander,Rionegro (Santander)
13077040,LA DOCTRINA[13077040],9.29722222,-75.89277778,Córdoba,Lorica
29045180,LAS FLORES - AUT [29045180],11.039361110000002,-74.81975,Atlantico,Barranquilla
23060200,SUPATA [23060200],5.0596944399999995,-74.23916666999999,Cundinamarca,Supata
47100010,TARAPACA [47100010],-2.8947222200000002,-69.73569444,Amazonas,Tarapacá
2403700148,PUENTE CASIANO - AUT [2403700148],6.5704,-72.4703,Boyacá,Chiscas
11147020,BAJIRA [11147020],7.36844444,-76.72727778,Chocó,Riosucio (Choco)
53070030,PUERTO LOPEZ [53070030],2.84527778,-77.24897222000001,Cauca,López
54020090,AEROPUERTO CONDOTO [54020090],5.0735,-76.67666666999999,Chocó,Condoto
47060010,EL ENCANTO [47060010],-1.74851,-73.20516667,Amazonas,El Encanto
21057120,SAN JUAN [21057120],2.3518888899999997,-76.31305556000001,Cauca,Inzá
47100020,SANTA LUCIA [47100020],-2.8648055599999998,-69.83169443999999,Amazonas,Tarapacá
54030010,PATUMAC [54030010],4.57283333,-76.20166667,Valle del Cauca,Versalles
26010100,PUENTE ARAGON [26010100],2.19158333,-76.48230556,Cauca,Puracé (Coconuco)
2802500079,CARACOLI [2802500079],10.08869444,-73.73166667,Cesar,Valledupar
26055020,TIMBA [26055020],3.11711111,-76.62402777999999,Valle del Cauca,Jamundí
21245030,ALVARADO [21245030],4.56788889,-74.95130556000001,Tolima,Alvarado
21255070,BLEDONIA [21255070],4.93333333,-74.91666667,Tolima,Lérida
47040020,EL REFUGIO [47040020],-0.5591666700000001,-74.38666667,Amazonas,Puerto Alegría
23215060,LA GLORIA [23215060],8.61527778,-73.80055556,Cesar,La Gloria
26035040,LA SALVAJINA [26035040],2.95,-76.7,Cauca,Suárez (Cauca)
32067020,LEJANIAS [32067020],3.53333333,-74.01666666999999,Meta,Lejanías
32155010,MAPIRIPANA [32155010],2.8,-70.53333332999999,Guaviare,San José Del Guaviare
23207020,MORALES [23207020],8.283333330000001,-73.86666667,Bolívar,Morales (Bolívar)
32105060,MUCUARE [32105060],2.86666667,-71.53333332999999,Guaviare,San José Del Guaviare
25025140,NECHI [25025140],8.1,-74.76666666999999,Antioquia,Nechí
23117040,PUERTO BOYACA [23117040],5.97833333,-74.56666666999999,Boyacá,Puerto Boyacá
44037050,VENECIA [44037050],1.56311111,-75.52930556000001,Caquetá,Florencia (Caquetá)
24035180,SAN RAFAEL [24035180],5.78333333,-72.98333333,Boyacá,Nobsa
16055050,SANTA LUCIA [16055050],8.06666667,-73.23333333,Norte de Santander,Ábrego
21217010,CHICORAL [21217010],4.2315277799999995,-74.99536111,Tolima,Espinal
21206650,COLEGIO SAN CAYETANO [21206650],4.51675278,-74.08822222,Bogotá,"Bogota, D.C"
16045020,EL TARRA [16045020],8.58861111,-73.08111111000001,Norte de Santander,El Tarra
35125010,HACIENDA LAS MARGARITAS [35125010],4.34055556,-72.15636111,Meta,Puerto López
21115120,LA BOCA [21115120],3.18333333,-75.26666666999999,Huila,Aipe
47075010,LA CHORRERA [47075010],-1.4446111099999999,-72.78958333,Amazonas,La Chorrera
24035040,LA COPA [24035040],5.57919444,-73.20877777999999,Boyacá,Toca
25027740,PINILLOS [25027740],8.911388890000001,-74.45777778,Bolívar,Pinillos
46035020,PUERTO RICO [46035020],1.91752778,-75.15066666999999,Caquetá,Puerto Rico (Caquetá)
25020530,LA ILUSION [25020530],8.0255,-75.08975,Antioquia,Caucasia
23085020,RADIO FARO [23085020],6.38333333,-75.15,Antioquia,Concepción (Antioquia)
44017040,VALENCIA [44017040],1.90041667,-76.66875,Cauca,San Sebastián
32035020,LA BALSORA [32035020],2.4383888899999997,-73.93227777999999,Meta,La Macarena
26157210,SAN ANTONIO [26157210],4.88661111,-75.42897222,Caldas,Villamaria
12010030,BARRANQUILLITA [12010030],7.57,-76.7,Antioquia,Chigorodó
23025040,ALBANIA [23025040],5.30110889,-74.91458056,Tolima,Mariquita
44117010,TAGUA LA [44117010],-0.05747222,-74.66694444,Putumayo,Puerto Leguízamo
26180220,LA  PINTADA ALERTAS [26180220],5.73,-75.59999722,Antioquia,La Pintada
52055040,BOTANA [52055040],1.16,-77.27880556000001,Nariño,Pasto
23040070,CAÑAVERAL,5.32328611,-74.93885833,Caldas,Victoria
3515000110,LA ESPERANZA [3515000110],3.79,-72.27,Meta,Puerto Gaitán
11047040,QUIBDO - AUT [11047040],5.7,-76.66,Chocó,Quibdó
5311500149,COLEGIO VASCO NUÑEZ DE BALBOA [5311500149],3.88419444,-77.04938056,Valle del Cauca,Buenaventura
5204700100,PUENTE LOS DOLORES - AUT  [5204700100],1.19980556,-77.26569444,Nariño,Pasto
44157010,MERCEDES LAS [44157010],-0.6384444400000001,-72.34475,Amazonas,Santander (Araracuara)
46037060,PUERTO RICO [46037060],1.91752778,-75.15066666999999,Caquetá,Puerto Rico (Caquetá)
16050100,EL CHORRO [16050100],8.01747222,-73.18375,Norte de Santander,Ábrego
2319700100,PIEDECUESTANA [2319700100],6.99307222,-73.03546944,Santander,Piedecuesta
2319500066,SABANA DE TORRES - AUT [2319500066],7.38902778,-73.48888889,Santander,Sabana De Torres
44035020,AEROPUERTO G ARTUNDUAGA [44035020],1.58905556,-75.55955556,Caquetá,Florencia (Caquetá)
26235030,MATANZAS [26235030],7.03583333,-75.66594443999999,Antioquia,Toledo (Antioquia)
27045020,CASERI [27045020],7.81172222,-74.93597222000001,Antioquia,Caucasia
25025090,AEROPUERTO LAS FLORES [25025090],9.046333330000001,-73.97083332999999,Magdalena,El Banco
2906500077,PALMOR - SIERRA NEVADA - AUT [2906500077],10.771749999999999,-74.01913889,Magdalena,Ciénaga
2403500083,PESCA - AUT [2403500083],5.524,-73.07655,Boyacá,Pesca
2403500085,SUSA - AUT [2403500085],6.23262,-72.69197,Santander,Onzaga
15067280,JOTOMANA [15067280],11.31891389,-72.55405556000001,La Guajira,Albania (La guajira)
11037030,LA LOMA PUEBLO [11037030],5.58466667,-76.75327778,Chocó,Rio Quito (Paimadó)
47017701,CANAL A [47017701],1.11444444,-76.97694444,Putumayo,San Francisco (Putumayo)
27015150,PROGRESO EL HACIENDA [27015150],6.44747222,-75.39716666999999,Antioquia,Don Matías
23105060,VEGACHI - AUT [23105060],6.77411111,-74.79652777999999,Antioquia,Vegachí
12017040,RIOGRANDE [12017040],7.92783333,-76.62111111,Antioquia,Turbo
54050010,NOANAMA [54050010],4.7166666699999995,-76.91666667,Chocó,Istmina
21197010,EL PROFUNDO - AUT [21197010],4.011694439999999,-74.50444444,Cundinamarca,Cabrera (Cundinamarca)
11105020,CARMEN DEL DARIEN -AUT [11105020],7.15433333,-76.97719444,Chocó,Carmen Del Darién  (Curbaradó)
11030010,CERTEGUI [11030010],5.38,-76.61,Chocó,Cértegui
24017150,LA BOYERA [24017150],5.303,-73.85133332999999,Cundinamarca,Ubaté
12017070,CERRAZON LA [12017070],7.7208611099999995,-76.57636111000001,Antioquia,Chigorodó
23087180,SIRPES LOS [23087180],6.37544444,-75.16125,Antioquia,Concepción (Antioquia)
23087830,FRESERA LA [23087830],6.19972222,-75.33408333,Antioquia,Rionegro (Antioquia)
26167090,COSTA AZUL  [26167090],5.35633333,-75.49286111,Caldas,Salamina (Caldas)
26197010,CAMPAMENTO [26197010],5.68133333,-75.87558333,Antioquia,Andes
26237050,PUENTE PESCADERO [26237050],7.08833333,-75.69591666999999,Antioquia,Toledo (Antioquia)
26237100,OLAYA [26237100],6.64494444,-75.82616666999999,Antioquia,Liborina
44037090,LARANDIA [44037090],1.4890833300000001,-75.49325,Caquetá,Florencia (Caquetá)
21080130,TOTUMO EL HACIENDA [21080130],2.59375,-75.62119444,Huila,Íquira
21120130,RIONEGRO HACIENDA [21120130],2.91186111,-75.42605556000001,Huila,Palermo
21115070,PORTAL EL [21115070],3.01494444,-75.073,Huila,Tello
21115140,LAURELES LOS [21115140],3.094,-74.92111111,Huila,Baraya
44187020,PEDRERA LA [44187020],-1.31316667,-69.59158332999999,Amazonas,La Pedrera
24017570,SAN BENITO [24017570],6.11833333,-73.49333333,Santander,San Benito
16037030,PUENTE SARDINATA - AUT [16037030],8.103611110000001,-72.79472222000001,Norte de Santander,Sardinata
16057040,QUINCE LETRAS - AUT [16057040],8.541111110000001,-73.24611111,Norte de Santander,Teorama
16047010,PUENTE ABREGO - AUT [16047010],8.043333330000001,-73.08305556,Norte de Santander,Ábrego
23147040,AYACUCHO - AUT [23147040],6.85580556,-73.76933333,Santander,Simacota
37027010,PEÑA DE LOS MICOS - AUT [37027010],7.19697222,-72.42477778,Norte de Santander,Toledo (Norte de Santander)
24037620,PUENTE VDA. CALVARIO [24037620],6.49036111,-72.407,Boyacá,Guicán
24037630,RITACUBA NEGRO - [24037630],6.50905556,-72.3295,Boyacá,Guicán
16027120,SAN JAVIER/PUENTE ZULIA - AUT [16027120],7.83388889,-72.65027778,Norte de Santander,Durania
2702500107,ANGOSTURA - AUT   [2702500107],6.90055556,-75.32601944,Antioquia,Angostura
2904000176,UNIREFORMADA - AUT,10.98525,-74.81592778,Atlantico,Barranquilla
2604500134,TORIBIO ALERTAS   TORIBIO - AUT   [2604500134],2.95238889,-76.26208333,Cauca,Toribío
21257080,QUINTA COBRA [21257080],4.9666666699999995,-74.93333333,Tolima,Armero (Guayabal)
35077070,SALITRE EL [35077070],4.98333333,-73.48333333,Boyacá,Somondoco
11050040,CALAORRA [11050040],5.76666667,-76.85,Chocó,Quibdó
29060480,CAPITOLIO [29060480],10.766666670000001,-74.23333333,Magdalena,Zona Bananera
29060370,CHIMBORAZO [29060370],10.73333333,-74.33333332999999,Magdalena,Puebloviejo
13017040,SAN CONALITO [13017040],7.68333333,-76.11666667,Córdoba,Tierralta
25028080,CARMEN EL [25028080],9.016666670000001,-74.76666666999999,Bolívar,Magangué
29047060,PLANTA EL RIO [29047060],10.96666667,-74.76666666999999,Atlantico,Barranquilla
13027010,ESMERALDA LA [13027010],7.75,-76.25,Córdoba,Tierralta
25027580,GUAYMARAL [25027580],9.11513889,-74.59516667,Bolívar,Mompós
15010050,CIENAGA GRANDE [15010050],11.0,-74.25,Magdalena,Ciénaga
15065140,TAJO SUR [15065140],11.076888890000001,-72.675,La Guajira,Barrancas
15010150,TAGUA LA [15010150],11.11666667,-74.05,Magdalena,Santa Marta
11130030,SAUTATA [11130030],7.86666667,-77.16666667,Chocó,Riosucio (Choco)
25027250,RETIRO EL [25027250],9.166666670000001,-74.71666667,Bolívar,Magangué
15065050,CAMP INTERCOR [15065050],11.14286111,-72.51466667,La Guajira,Albania (La guajira)
15035010,ROSALES LOS HACIENDA [15035010],11.21666667,-73.45,La Guajira,Dibulla
38017020,SAN JOSE [38017020],6.05,-67.46666667,Vichada,Puerto Carreño
35017050,RINCON DEL PAJURE [35017050],3.88333333,-73.11666667,Meta,San Carlos De Guaroa
36027020,CABUYA LA [36027020],6.15,-72.01666666999999,Casanare,Hato Corozal
27015120,PIEDRAS BLANCAS [27015120],6.3,-75.5,Antioquia,Medellín
24037280,PLAYA LA [24037280],6.38333333,-72.71666667,Boyacá,Covarachía
26220060,TUNAL EL [26220060],6.58333333,-75.83333332999999,Antioquia,Santa Fe De Antioquia
23140030,CARMEN EL [23140030],6.69638889,-73.51,Santander,El Carmen (Santander)
26177100,SANTA CLARA [26177100],5.95,-75.85,Antioquia,Concordia (Antioquia)
26207040,RODADERO EL [26207040],6.0,-75.8,Antioquia,Venecia (Antioquia)
26087100,COLEGIO EL [26087100],3.46666667,-76.56666666999999,Valle del Cauca,Cali
32077020,PUENTE CARRETERA [32077020],3.48333333,-73.73333333,Meta,Granada (Meta)
26117180,CARACOLI [26117180],4.55,-76.08333332999999,Valle del Cauca,Toro
54025030,SAN JOSE [54025030],5.1,-76.6,Chocó,Condoto
26037020,TRAVIEZA LA [26037020],2.38333333,-76.65,Cauca,Popayán
26035020,MUNCHIQUE [26035020],2.5166666699999998,-76.96666667,Cauca,El Tambo (Cauca)
23025020,ESPERANZA LA [23025020],5.26263889,-74.72913889,Tolima,Honda
35195040,PAJARITO VILLA MAR [35195040],5.28333333,-72.7,Casanare,Aguazul
53045010,BONANZA [53045010],2.56666667,-77.88333333,Cauca,Guapi
26095110,ICA-BALBOA [26095110],3.93333333,-76.3,Valle del Cauca,Buga
21247040,BOCATOMA [21247040],4.69205556,-74.95813889,Tolima,Venadillo
32047020,BAJO GUAYABERO [32047020],2.6136944399999997,-72.81375,Guaviare,San José Del Guaviare
22055030,SANTA HELENA [22055030],3.98605556,-74.89880556,Tolima,Purificación
54035020,ARGELIA EL RECREO [54035020],4.73333333,-76.11666667,Valle del Cauca,Argelia (Valle del cauca)
35217050,PUERTO TOCARIA [35217050],5.4,-72.18333333,Casanare,Nunchía
53040020,PLAYA CHACON [53040020],2.68333333,-77.71666667,Cauca,Timbiquí
53070040,CAMP EL PORVENIR [53070040],2.7666666699999998,-77.06666666999999,Cauca,El Tambo (Cauca)
26107160,PUENTE CARRETERA [26107160],4.08333333,-76.18333333,Valle del Cauca,Tuluá
26100820,RAFAELA LA [26100820],4.11666667,-76.2,Valle del Cauca,Tuluá
21130070,SAN PEDRO [21130070],3.25,-75.45,Huila,Aipe
32070050,PUERTO LLERAS [32070050],3.28333333,-73.38333333,Meta,Puerto Lleras
35065020,MAMBITA [35065020],4.76666667,-73.33333332999999,Cundinamarca,Ubalá
21250540,BOCATOMA C NORTE [21250540],4.78333333,-74.8,Tolima,Ambalema
21217080,CANAL GUALANDAY [21217080],4.25,-75.01666666999999,Tolima,Espinal
26130190,BOQUERON [26130190],4.83333333,-75.66666667,RIsaralda,Santa Rosa De Cabal
26115030,TIERRABLANCA [26115030],4.41666667,-76.1,Valle del Cauca,Roldanillo
35227010,SAN MIGUEL [35227010],4.83333333,-71.43333333,Casanare,Orocué
21250610,ALSACIA [21250610],4.85,-74.78333332999999,Tolima,Ambalema
26170160,NACIONAL LA GRANJA [26170160],5.7166666699999995,-75.71666667,Antioquia,Támesis
32087040,CANDILEJAS [32087040],2.83333333,-73.08333332999999,Meta,Puerto Rico (Meta)
22077020,HATO VIEJO [22077020],4.15,-75.26666666999999,Tolima,Rovira
26040320,TACUEYO [26040320],3.05,-76.23333333,Cauca,Toribío
26070090,PENON EL [26070090],3.31666667,-76.23333333,Valle del Cauca,Florida
35035060,HACHON EL [35035060],4.16666667,-73.6,Meta,Villavicencio
